       Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
LBFGS:    0 14:34:00     -191.200879*       2.0030
LBFGS:    1 14:49:18     -191.296792*       1.7628
LBFGS:    2 15:13:16     -191.645465*       0.6932
LBFGS:    3 15:30:35     -191.666485*       0.5427
LBFGS:    4 15:43:49     -191.696657*       0.2730
LBFGS:    5 15:55:13     -191.707959*       0.2429
LBFGS:    6 16:17:49     -191.714714*       0.5950
LBFGS:    7 16:33:09     -191.724687*       0.2238
LBFGS:    8 16:47:06     -191.728707*       0.2499
LBFGS:    9 17:02:05     -191.735928*       0.1374
LBFGS:   10 17:12:54     -191.738415*       0.1456
LBFGS:   11 17:27:15     -191.741791*       0.1146
LBFGS:   12 17:38:14     -191.742374*       0.0873
