       Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
LBFGS:    0 12:51:24     -202.009839*       2.1238
LBFGS:    1 13:06:27     -202.105842*       1.7936
LBFGS:    2 13:31:42     -202.387252*       0.5610
LBFGS:    3 13:52:09     -202.429671*       0.5425
LBFGS:    4 14:05:08     -202.446858*       0.3942
LBFGS:    5 14:19:39     -202.464575*       0.1695
LBFGS:    6 14:36:08     -202.469759*       0.1268
LBFGS:    7 14:57:26     -202.453374*       0.6078
LBFGS:    8 15:17:59     -202.477500*       0.1379
LBFGS:    9 15:28:00     -202.479076*       0.1266
LBFGS:   10 15:42:01     -202.481351*       0.0823
