       Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
LBFGS:    0 12:54:55     -201.663952*       1.8360
LBFGS:    1 13:09:10     -201.745164*       1.5749
LBFGS:    2 13:33:02     -201.985781*       0.6392
LBFGS:    3 13:51:40     -202.014481*       0.7696
LBFGS:    4 14:07:07     -202.038529*       0.4509
LBFGS:    5 14:24:52     -202.061289*       0.1858
LBFGS:    6 14:42:48     -202.073960*       0.2060
LBFGS:    7 14:57:50     -202.076935*       0.1296
LBFGS:    8 15:10:34     -202.082186*       0.2751
LBFGS:    9 15:28:17     -202.083532*       0.1034
LBFGS:   10 15:41:59     -202.085352*       0.0567
