       Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
LBFGS:    0 12:53:38     -205.491481*       1.2818
LBFGS:    1 13:04:52     -205.529815*       1.0251
LBFGS:    2 13:25:07     -205.626945*       0.4447
LBFGS:    3 13:37:31     -205.633425*       0.4040
LBFGS:    4 13:53:56     -205.648476*       0.3379
LBFGS:    5 14:06:20     -205.659140*       0.2610
LBFGS:    6 14:20:43     -205.665305*       0.1665
LBFGS:    7 14:34:05     -205.667897*       0.1841
LBFGS:    8 14:45:27     -205.670153*       0.1967
LBFGS:    9 15:02:41     -205.673849*       0.4720
LBFGS:   10 15:17:56     -205.677679*       0.1459
LBFGS:   11 15:28:13     -205.680437*       0.1305
LBFGS:   12 15:41:39     -205.683240*       0.1527
LBFGS:   13 15:53:13     -205.686619*       0.1493
LBFGS:   14 16:05:36     -205.692416*       0.1765
LBFGS:   15 16:16:04     -205.693271*       0.1345
LBFGS:   16 16:32:34     -205.696603*       0.3056
LBFGS:   17 16:42:51     -205.700132*       0.1358
LBFGS:   18 16:59:19     -205.703575*       0.1915
LBFGS:   19 17:10:44     -205.706324*       0.1654
LBFGS:   20 17:30:20     -205.711504*       0.2915
LBFGS:   21 17:47:54     -205.713521*       0.1401
LBFGS:   22 18:05:33     -205.716919*       0.2039
LBFGS:   23 18:21:11     -205.717379*       0.1544
LBFGS:   24 18:34:51     -205.719104*       0.0881
