       Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
LBFGS:    0 14:42:30     -190.342595*       1.6277
LBFGS:    1 14:54:50     -190.401896*       1.6281
LBFGS:    2 15:16:10     -190.798628*       1.3223
LBFGS:    3 15:37:22     -190.945134*       0.9707
LBFGS:    4 15:48:38     -190.980254*       0.7741
LBFGS:    5 16:03:57     -191.097828*       0.5130
LBFGS:    6 16:18:12     -191.136752*       0.3919
LBFGS:    7 16:30:37     -191.147959*       0.3399
LBFGS:    8 16:47:54     -191.175627*       0.3770
LBFGS:    9 17:03:18     -191.193173*       0.2388
LBFGS:   10 17:15:41     -191.202086*       0.1863
LBFGS:   11 17:29:04     -191.210797*       0.2598
LBFGS:   12 17:40:23     -191.217127*       0.1648
LBFGS:   13 17:51:38     -191.222100*       0.1759
LBFGS:   14 18:04:52     -191.226784*       0.1636
LBFGS:   15 18:13:09     -191.229528*       0.1659
LBFGS:   16 18:32:30     -191.233486*       0.3392
LBFGS:   17 18:43:51     -191.239608*       0.1057
LBFGS:   18 18:56:13     -191.242203*       0.1295
LBFGS:   19 19:07:33     -191.245927*       0.1288
LBFGS:   20 19:21:48     -191.248624*       0.1257
LBFGS:   21 19:35:09     -191.250491*       0.1277
LBFGS:   22 19:50:34     -191.252631*       0.1375
LBFGS:   23 20:03:50     -191.254520*       0.1230
LBFGS:   24 20:23:06     -191.252986*       0.1979
LBFGS:   25 20:37:36     -191.256939*       0.1662
LBFGS:   26 20:57:03     -191.259291*       0.1832
LBFGS:   27 21:17:28     -191.252949*       0.1227
LBFGS:   28 21:34:51     -191.261202*       0.1091
LBFGS:   29 21:53:09     -191.261367*       0.1637
LBFGS:   30 22:10:27     -191.258904*       0.2828
LBFGS:   31 22:25:43     -191.264018*       0.1506
LBFGS:   32 22:43:59     -191.263815*       0.1751
LBFGS:   33 22:57:16     -191.264536*       0.1322
LBFGS:   34 23:11:22     -191.262223*       0.0788
