       Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
LBFGS:    0 12:52:52     -205.495631*       1.2687
LBFGS:    1 13:06:47     -205.530813*       0.9970
LBFGS:    2 13:27:49     -205.607226*       0.4161
LBFGS:    3 13:40:02     -205.612234*       0.3224
LBFGS:    4 13:56:35     -205.626386*       0.4801
LBFGS:    5 14:07:03     -205.632536*       0.3261
LBFGS:    6 14:18:32     -205.635316*       0.1520
LBFGS:    7 14:28:54     -205.636574*       0.1628
LBFGS:    8 14:38:27     -205.638343*       0.2931
LBFGS:    9 14:59:16     -205.621824*       0.8620
LBFGS:   10 15:15:02     -205.641346*       0.2342
LBFGS:   11 15:31:01     -205.642084*       0.1753
LBFGS:   12 15:40:42     -205.643429*       0.1533
LBFGS:   13 15:57:27     -205.638732*       0.6350
LBFGS:   14 16:12:44     -205.643969*       0.1921
LBFGS:   15 16:19:55     -205.644901*       0.2048
LBFGS:   16 16:33:57     -205.642975*       0.4986
LBFGS:   17 16:44:09     -205.645860*       0.3324
LBFGS:   18 17:05:22     -205.643722*       0.3975
LBFGS:   19 17:14:42     -205.646437*       0.2968
LBFGS:   20 17:32:10     -205.628481*       1.0961
LBFGS:   21 17:47:37     -205.646049*       0.1689
LBFGS:   22 17:59:56     -205.646929*       0.1057
LBFGS:   23 18:14:43     -205.647120*       0.1023
LBFGS:   24 18:29:35     -205.646932*       0.1873
LBFGS:   25 18:46:27     -205.648111*       0.0566
