     Ag,     Ir,     Pd,     Pt,     Ru, activity
0.60000,0.30000,0.00000,0.10000,0.00000,0.0192984
0.55000,0.15000,0.15000,0.05000,0.10000,0.0582549
0.50000,0.05000,0.25000,0.10000,0.10000,0.0747374
0.45000,0.00000,0.10000,0.25000,0.20000,0.0422513
0.35000,0.05000,0.20000,0.20000,0.20000,0.0671436
0.60000,0.05000,0.00000,0.05000,0.30000,0.0310450
0.50000,0.20000,0.10000,0.20000,0.00000,0.0465408
0.45000,0.50000,0.00000,0.05000,0.00000,0.0097235
0.35000,0.00000,0.15000,0.25000,0.25000,0.0567262
0.35000,0.20000,0.20000,0.15000,0.10000,0.0718132
0.40000,0.05000,0.30000,0.10000,0.15000,0.0883799
0.35000,0.35000,0.05000,0.25000,0.00000,0.0461831
0.30000,0.25000,0.25000,0.10000,0.10000,0.0836012
0.30000,0.40000,0.10000,0.20000,0.00000,0.0538404
0.40000,0.30000,0.00000,0.05000,0.25000,0.0104032
0.45000,0.20000,0.00000,0.30000,0.05000,0.0266415
0.40000,0.00000,0.15000,0.15000,0.30000,0.0515637
0.40000,0.15000,0.10000,0.35000,0.00000,0.0525775
0.45000,0.05000,0.40000,0.00000,0.10000,0.0941354
0.35000,0.10000,0.40000,0.05000,0.10000,0.1099288
0.55000,0.00000,0.25000,0.15000,0.05000,0.0679259
0.90000,0.10000,0.00000,0.00000,0.00000,0.0448840
0.75000,0.00000,0.05000,0.15000,0.05000,0.0329729
0.60000,0.30000,0.00000,0.05000,0.05000,0.0211094
0.65000,0.20000,0.00000,0.10000,0.05000,0.0242663
0.55000,0.15000,0.15000,0.00000,0.15000,0.0592953
0.50000,0.05000,0.25000,0.05000,0.15000,0.0765239
0.45000,0.00000,0.10000,0.20000,0.25000,0.0430797
0.35000,0.05000,0.20000,0.15000,0.25000,0.0694367
0.50000,0.20000,0.10000,0.15000,0.05000,0.0455568
0.45000,0.50000,0.00000,0.00000,0.05000,0.0068043
0.60000,0.05000,0.00000,0.00000,0.35000,0.0359884
0.35000,0.00000,0.15000,0.20000,0.30000,0.0565284
0.35000,0.20000,0.20000,0.10000,0.15000,0.0706103
0.35000,0.35000,0.05000,0.20000,0.05000,0.0380831
0.40000,0.30000,0.00000,0.00000,0.30000,0.0080530
0.30000,0.25000,0.25000,0.05000,0.15000,0.0798335
0.40000,0.05000,0.30000,0.05000,0.20000,0.0864822
0.30000,0.40000,0.10000,0.15000,0.05000,0.0477669
0.45000,0.20000,0.00000,0.25000,0.10000,0.0245192
0.40000,0.00000,0.15000,0.10000,0.35000,0.0524865
0.40000,0.15000,0.10000,0.30000,0.05000,0.0504937
0.45000,0.05000,0.35000,0.15000,0.00000,0.0945659
0.35000,0.10000,0.40000,0.00000,0.15000,0.1111654
0.55000,0.00000,0.25000,0.10000,0.10000,0.0704379
0.75000,0.00000,0.05000,0.10000,0.10000,0.0439823
0.60000,0.30000,0.00000,0.00000,0.10000,0.0202213
0.90000,0.05000,0.05000,0.00000,0.00000,0.0351032
