                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 01:39:26     -186.278180*       0.6974
BFGSLineSearch:    1[  2] 02:36:06     -186.293575*       0.6511
BFGSLineSearch:    2[  4] 03:35:09     -186.314311*       0.2324
BFGSLineSearch:    3[  5] 03:58:25     -186.328917*       0.2434
BFGSLineSearch:    4[  6] 04:23:57     -186.336175*       0.2294
BFGSLineSearch:    5[  7] 04:44:30     -186.341064*       0.1156
BFGSLineSearch:    6[  8] 05:06:03     -186.346610*       0.1872
BFGSLineSearch:    7[  9] 05:26:29     -186.352079*       0.2315
BFGSLineSearch:    8[ 10] 05:48:14     -186.354145*       0.1543
BFGSLineSearch:    9[ 11] 06:06:18     -186.357338*       0.1756
BFGSLineSearch:   10[ 12] 06:24:02     -186.359255*       0.1183
BFGSLineSearch:   11[ 13] 06:39:26     -186.360832*       0.0528
