                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 15:40:00     -235.807118*       2.7304
BFGSLineSearch:    1[  3] 17:31:59     -236.813568*       1.1846
BFGSLineSearch:    2[  4] 18:12:40     -237.022328*       0.5495
BFGSLineSearch:    3[  5] 18:45:21     -237.079972*       0.3439
BFGSLineSearch:    4[  6] 19:15:28     -237.106015*       0.3870
BFGSLineSearch:    5[  7] 19:45:36     -237.118481*       0.3115
BFGSLineSearch:    6[  8] 20:10:56     -237.128404*       0.1476
BFGSLineSearch:    7[  9] 20:31:19     -237.132744*       0.1618
BFGSLineSearch:    8[ 10] 20:49:10     -237.135300*       0.1110
BFGSLineSearch:    9[ 12] 21:17:24     -237.136064*       0.0486
