                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 20:45:06     -269.097061*       2.1756
BFGSLineSearch:    1[  3] 22:22:21     -269.777562*       0.9756
BFGSLineSearch:    2[  5] 23:27:31     -269.876515*       1.5041
BFGSLineSearch:    3[  6] 00:01:07     -269.980055*       1.1678
BFGSLineSearch:    4[  8] 00:55:29     -270.012501*       1.0786
BFGSLineSearch:    5[ 10] 02:01:04     -270.085476*       0.4987
BFGSLineSearch:    6[ 11] 02:27:40     -270.126799*       0.5439
BFGSLineSearch:    7[ 12] 02:47:28     -270.144512*       0.1703
BFGSLineSearch:    8[ 13] 03:07:09     -270.153876*       0.1664
BFGSLineSearch:    9[ 14] 03:31:04     -270.160857*       0.1424
BFGSLineSearch:   10[ 15] 03:47:24     -270.163803*       0.1743
BFGSLineSearch:   11[ 16] 04:03:33     -270.166648*       0.0778
