                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 01:39:28     -186.423083*       1.0070
BFGSLineSearch:    1[  2] 02:44:26     -186.468002*       1.1021
BFGSLineSearch:    2[  4] 03:52:21     -186.489778*       0.2910
BFGSLineSearch:    3[  5] 04:18:22     -186.507129*       0.2931
BFGSLineSearch:    4[  6] 04:43:11     -186.515295*       0.2688
BFGSLineSearch:    5[  7] 05:08:00     -186.522096*       0.3024
BFGSLineSearch:    6[  8] 05:31:31     -186.528203*       0.3440
BFGSLineSearch:    7[  9] 05:51:10     -186.538943*       0.2383
BFGSLineSearch:    8[ 10] 06:10:34     -186.545595*       0.0849
